Country_Eng,Country_Rus,Price_Activate,Price_Grizzly,Qty_Activate,Qty_Grizzly,Market_Min,Market_Max,Market_Avg,Margin,Margin_Min,Margin_Max,Better_Supplier,Items_Qty
Sudan,Судан,0.28,0.01,4,19440,3.72,6.21,4.5,4.49,3.71,6.2,grizzly-sms,16
Suriname,Суринам,0.34,0.0,263,943,,,,,,,,0
Sweden,Швеция,,0.02,,31,12.44,12.44,12.44,12.42,12.42,12.42,grizzly-sms,1
Switzerland,Швейцария,,0.01,,526,,,,,,,,0
Syria,Сирия,0.4,0.01,100,5,1.48,1.48,1.48,1.47,1.47,1.47,grizzly-sms,38
Taiwan,Тайвань,10,0.01,67,14,,,,,,,,0
Tajikistan,Таджикистан,0.3,0.01,150,25313,4.98,12.44,7.29,7.28,4.97,12.43,grizzly-sms,7
Tanzania,Танзания,0.25,0.0,110,1116,0.44,12.44,8.74,8.73,0.44,12.44,grizzly-sms,59
Thailand,Таиланд,1,0.01,3219,25631,1.47,2.05,1.61,1.6,1.46,2.04,grizzly-sms,200
Togo,Того,0.45,0.01,260,19440,2.49,14.93,11.94,11.94,2.48,14.92,grizzly-sms,5
Tonga,Тонга,,0.0,,9,,,,,,,,0
Trinidad and Tobago,Тринидад и Тобаго,,0.01,,3184,1.24,6.21,2.26,2.25,1.23,6.2,grizzly-sms,36
Tunisia,Тунис,0.25,0.0,10,3252,3.72,14.93,5.44,5.44,3.72,14.93,grizzly-sms,63
Turkey,Турция,,0.01,,35,1.24,3.11,1.28,1.27,1.23,3.1,grizzly-sms,200
Turkmenistan,Туркменистан,0.45,0.0,52,133,,,,,,,,0
Uganda,Уганда,0.21,0.0,10,35,0.37,2.49,1.08,1.07,0.37,2.49,grizzly-sms,3
Ukraine,Украина,2.6,0.03,10,229,2.33,82.33,9.54,9.51,2.3,82.3,grizzly-sms,200
United Arab Emirates,Объединённые Арабские Эмираты,0.8,0.01,997,241,8.71,12.44,9.02,9.01,8.7,12.43,grizzly-sms,12
United Kingdom,Великобритания,1.3,0.03,382,152022,1.59,12.44,2.51,2.48,1.56,12.41,grizzly-sms,200
Uruguay,Уругвай,0.45,0.0,50,1108,8.71,8.71,8.71,8.71,8.71,8.71,grizzly-sms,3
Uzbekistan,Узбекистан,,0.02,,117344,1.41,1.49,1.41,1.39,1.39,1.47,grizzly-sms,200
Vanuatu,Вануату,0.8,,997,,,,,,,,,0
Venezuela,Венесуэла,0.7,0.01,543,17,0.98,12.44,5.63,5.62,0.97,12.43,grizzly-sms,68
Vietnam,Вьетнам,0.35,0.01,1101,2342,0.44,5.6,0.75,0.74,0.43,5.59,grizzly-sms,178
Yemen,Йемен,0.5,0.01,600,1626,1.12,12.44,1.38,1.37,1.11,12.43,grizzly-sms,200
Zambia,Замбия,0.25,0.0,110,138,0.37,6.22,5.94,5.94,0.37,6.22,grizzly-sms,21
Zimbabwe,Зимбабве,0.3,0.0,100,990,,,,,,,,0
